nombre_campo;descripcion;modulo;valores_permitidos;numero_pregunta;tema_pregunta;pagina_pdf;estado_extraccion;asignacion_valores
Año;Año en que se ejecuta el estudio;DEFINICIÓN DE VARIABLES GLOBALES;;;;1;ok;sin_valores
idmunici;Código de la Municipalidad;DEFINICIÓN DE VARIABLES GLOBALES;;;;1;ok;sin_valores
ccdd;Código del Departamento;DEFINICIÓN DE VARIABLES GLOBALES;;;;1;ok;sin_valores
ccpp;Código de la Provincia;DEFINICIÓN DE VARIABLES GLOBALES;;;;1;ok;sin_valores
ccdi;Código del Distrito;DEFINICIÓN DE VARIABLES GLOBALES;;;;1;ok;sin_valores
Ubigeo;Ubigeo;DEFINICIÓN DE VARIABLES GLOBALES;;;;1;ok;sin_valores
Departamento;Nombre del Departamento;DEFINICIÓN DE VARIABLES GLOBALES;;;;1;ok;sin_valores
Provincia;Nombre de la Provincia;DEFINICIÓN DE VARIABLES GLOBALES;;;;1;ok;sin_valores
Distrito;Nombre del Distrito;DEFINICIÓN DE VARIABLES GLOBALES;;;;1;ok;sin_valores
Tipomuni;Tipo de Municipalidad;DEFINICIÓN DE VARIABLES GLOBALES;1: Provincial | 2: Distrital | 3: Centro Poblado;;;1;ok;asignado_por_posicion
VFI;Municipalidad informante;MÓDULO I: DATOS GENERALES DE LA MUNICIPALIDAD;0: No informó | 1: Informó;;;1;ok;asignado_por_posicion
P04_1;Dirección de la Municipalidad / Tipo de Vía;MÓDULO I: DATOS GENERALES DE LA MUNICIPALIDAD;1: Avenida | 2: Jirón | 3: Calle | 4: Pasaje | 5: Carretera | 6: Otro;;;1;ok;asignado_por_posicion
P04_2;Dirección de la Municipalidad / Nombre de Vía;MÓDULO I: DATOS GENERALES DE LA MUNICIPALIDAD;;;;1;ok;sin_valores
P04_3;Dirección de la Municipalidad / Número;MÓDULO I: DATOS GENERALES DE LA MUNICIPALIDAD;;;;1;ok;sin_valores
P04_4;Dirección de la Municipalidad / Manzana;MÓDULO I: DATOS GENERALES DE LA MUNICIPALIDAD;;;;1;ok;sin_valores
P04_5;Dirección de la Municipalidad / Lote;MÓDULO I: DATOS GENERALES DE LA MUNICIPALIDAD;;;;1;ok;sin_valores
P04_6;Dirección de la Municipalidad / Km.;MÓDULO I: DATOS GENERALES DE LA MUNICIPALIDAD;;;Directorio de las;1;ok;sin_valores
P05_CC;Teléfono / Código de la ciudad;MÓDULO I: DATOS GENERALES DE LA MUNICIPALIDAD;;;Municipalidades;1;ok;sin_valores
P05_1;Teléfonos de la Municipalidad / Teléfono 1;MÓDULO I: DATOS GENERALES DE LA MUNICIPALIDAD;;;Provinciales y;1;ok;sin_valores
P05_2;Teléfonos de la Municipalidad / Teléfono 2;MÓDULO I: DATOS GENERALES DE LA MUNICIPALIDAD;;;Distritales;1;ok;sin_valores
P05_3;Teléfonos de la Municipalidad / Teléfono 3;MÓDULO I: DATOS GENERALES DE LA MUNICIPALIDAD;;;Distritales;1;ok;sin_valores
P06_CC;Otro teléfono de referencia / Código de la ciudad;MÓDULO I: DATOS GENERALES DE LA MUNICIPALIDAD;;;Distritales;1;ok;sin_valores
P06;Otro teléfono de referencia / Teléfono;MÓDULO I: DATOS GENERALES DE LA MUNICIPALIDAD;;;Distritales;1;ok;sin_valores
P07;Facebook de la Municipalidad;MÓDULO I: DATOS GENERALES DE LA MUNICIPALIDAD;;;Distritales;1;ok;sin_valores
P08;Correo Electrónico de la Municipalidad;MÓDULO I: DATOS GENERALES DE LA MUNICIPALIDAD;;;Distritales;1;ok;sin_valores
P09;Página Web de la Municipalidad;MÓDULO I: DATOS GENERALES DE LA MUNICIPALIDAD;;;Distritales;1;ok;sin_valores
P10_1;Alcalde de la Municipalidad / Nombres;MÓDULO I: DATOS GENERALES DE LA MUNICIPALIDAD;;;Distritales;1;ok;sin_valores
P10_2;Alcalde de la Municipalidad / Apellido Paterno;MÓDULO I: DATOS GENERALES DE LA MUNICIPALIDAD;;;Distritales;1;ok;sin_valores
P10_3;Alcalde de la Municipalidad / Apellido Materno;MÓDULO I: DATOS GENERALES DE LA MUNICIPALIDAD;;;Distritales;1;ok;sin_valores
P10_4;Alcalde de la Municipalidad / Sexo;MÓDULO I: DATOS GENERALES DE LA MUNICIPALIDAD;1: Mujer | 2: Hombre;;Distritales;1;ok;asignado_por_posicion
VFI_P11A;Municipalidad informante;MÓDULO II: EQUIPAMIENTO Y TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIONES;0: No informó | 1: Informó;;Distritales;2;ok;asignado_por_posicion
