dataset,column_name,parquet_type,inferred_type,row_count,null_count,null_pct,empty_string_count,empty_string_pct,missing_like_count,missing_like_pct,non_missing_count,unique_count,unique_pct,cardinality_class,min_length,max_length,avg_length,numeric_valid_count,numeric_valid_pct,numeric_min,numeric_max,numeric_mean,q1,q3,iqr,outlier_count_iqr,outlier_pct_iqr,datetime_valid_pct,datetime_detected_format,datetime_min,datetime_max,sample_values,top_values
municipalidades_2022,Año,large_string,integer,1874,0,0.0,0,0.0,0,0.0,1874,1,0.0534,baja_categorica,4,4,4.0,1874,100.0,2022.0,2022.0,2022.0,2022.0,2022.0,0.0,,,0.0,,,,"[""2022""]","{""2022"": 1874}"
municipalidades_2022,idmunici,large_string,integer,1874,0,0.0,0,0.0,0,0.0,1874,1874,100.0,alta_posible_identificador,6,6,6.0,1874,100.0,10101.0,250401.0,106811.4418,50328.25,150805.75,100477.5,0,0.0,0.0,,,,"[""010101"", ""010102"", ""010103"", ""010104"", ""010105""]","{""010101"": 1, ""140104"": 1, ""140116"": 1, ""140115"": 1, ""140114"": 1, ""140113"": 1, ""140112"": 1, ""140111"": 1, ""140110"": 1, ""140109"": 1}"
municipalidades_2022,ccdd,large_string,integer,1874,0,0.0,0,0.0,0,0.0,1874,25,1.334,baja_categorica,2,2,2.0,1874,100.0,1.0,25.0,10.6265,5.0,15.0,10.0,0,0.0,0.0,,,,"[""01"", ""02"", ""03"", ""04"", ""05""]","{""15"": 171, ""02"": 166, ""06"": 127, ""12"": 124, ""05"": 119, ""08"": 112, ""21"": 110, ""04"": 109, ""09"": 100, ""01"": 84}"
municipalidades_2022,ccpp,large_string,integer,1874,0,0.0,0,0.0,0,0.0,1874,20,1.0672,baja_categorica,2,2,2.0,1874,100.0,1.0,20.0,5.3943,2.0,8.0,6.0,27,1.4408,0.0,,,,"[""01"", ""02"", ""03"", ""04"", ""05""]","{""01"": 351, ""02"": 190, ""05"": 179, ""04"": 177, ""03"": 172, ""06"": 170, ""07"": 153, ""08"": 112, ""10"": 102, ""09"": 85}"
municipalidades_2022,ccdi,large_string,integer,1874,0,0.0,0,0.0,0,0.0,1874,43,2.2946,baja_categorica,2,2,2.0,1874,100.0,1.0,43.0,7.333,3.0,9.75,6.75,109,5.8164,0.0,,,,"[""01"", ""02"", ""03"", ""04"", ""05""]","{""01"": 196, ""02"": 192, ""03"": 189, ""04"": 183, ""05"": 167, ""06"": 149, ""07"": 129, ""08"": 114, ""09"": 86, ""10"": 80}"
municipalidades_2022,Ubigeo,large_string,integer,1874,0,0.0,0,0.0,0,0.0,1874,1874,100.0,alta_posible_identificador,6,6,6.0,1874,100.0,10101.0,250401.0,106811.4418,50328.25,150805.75,100477.5,0,0.0,0.0,,,,"[""010101"", ""010102"", ""010103"", ""010104"", ""010105""]","{""010101"": 1, ""140104"": 1, ""140116"": 1, ""140115"": 1, ""140114"": 1, ""140113"": 1, ""140112"": 1, ""140111"": 1, ""140110"": 1, ""140109"": 1}"
municipalidades_2022,Departamento,large_string,categorical_text,1874,0,0.0,0,0.0,0,0.0,1874,25,1.334,baja_categorica,3,13,6.9696,0,0.0,,,,,,,,,0.0,,,,"[""AMAZONAS"", ""ANCASH"", ""APURIMAC"", ""AREQUIPA"", ""AYACUCHO""]","{""LIMA"": 171, ""ANCASH"": 166, ""CAJAMARCA"": 127, ""JUNIN"": 124, ""AYACUCHO"": 119, ""CUSCO"": 112, ""PUNO"": 110, ""AREQUIPA"": 109, ""HUANCAVELICA"": 100, ""AMAZONAS"": 84}"
municipalidades_2022,Provincia,large_string,text,1874,0,0.0,0,0.0,0,0.0,1874,196,10.4589,media,3,25,8.1291,0,0.0,,,,,,,,,0.0,,,,"[""CHACHAPOYAS"", ""BAGUA"", ""BONGARA"", ""CONDORCANQUI"", ""LUYA""]","{""LIMA"": 43, ""JAUJA"": 34, ""YAUYOS"": 33, ""HUAROCHIRI"": 32, ""AREQUIPA"": 29, ""HUANCAYO"": 28, ""LUYA"": 23, ""LUCANAS"": 21, ""TAYACAJA"": 21, ""CHACHAPOYAS"": 21}"
municipalidades_2022,Distrito,large_string,text,1874,0,0.0,0,0.0,0,0.0,1874,1722,91.889,media_alta,3,36,9.2705,0,0.0,,,,,,,,,0.0,,,,"[""CHACHAPOYAS"", ""ASUNCION"", ""BALSAS"", ""CHETO"", ""CHILIQUIN""]","{""SANTA ROSA"": 10, ""SAN ANTONIO"": 5, ""PUEBLO NUEVO"": 5, ""SANTA CRUZ"": 5, ""SAN LUIS"": 4, ""SAN MIGUEL"": 4, ""BELLAVISTA"": 4, ""INDEPENDENCIA"": 4, ""MIRAFLORES"": 4, ""SAN JUAN"": 4}"
municipalidades_2022,Tipomuni,large_string,integer,1874,0,0.0,0,0.0,0,0.0,1874,2,0.1067,baja_categorica,1,1,1.0,1874,100.0,1.0,2.0,1.8954,2.0,2.0,0.0,,,0.0,,,,"[""1"", ""2""]","{""2"": 1678, ""1"": 196}"
