dataset,columna,cardinalidad_aprox,pct_unicidad,clase
siaf_ingresos,ANO_DOC,15,0.0001,baja_categorica
siaf_ingresos,MES_DOC,12,0.0001,baja_categorica
siaf_ingresos,NIVEL_GOBIERNO,3,0.0,baja_categorica
siaf_ingresos,NIVEL_GOBIERNO_NOMBRE,3,0.0,baja_categorica
siaf_ingresos,SECTOR,34,0.0003,baja_categorica
siaf_ingresos,SECTOR_NOMBRE,35,0.0003,baja_categorica
siaf_ingresos,PLIEGO,180,0.0017,baja_categorica
siaf_ingresos,PLIEGO_NOMBRE,264,0.0024,baja_categorica
siaf_ingresos,SEC_EJEC,2924,0.0271,baja_categorica
siaf_ingresos,EJECUTORA,2124,0.0197,baja_categorica
siaf_ingresos,EJECUTORA_NOMBRE,2970,0.0276,baja_categorica
siaf_ingresos,DEPARTAMENTO_EJECUTORA,28,0.0003,baja_categorica
siaf_ingresos,DEPARTAMENTO_EJECUTORA_NOMBRE,26,0.0002,baja_categorica
siaf_ingresos,PROVINCIA_EJECUTORA,22,0.0002,baja_categorica
siaf_ingresos,PROVINCIA_EJECUTORA_NOMBRE,201,0.0019,baja_categorica
siaf_ingresos,DISTRITO_EJECUTORA,47,0.0004,baja_categorica
siaf_ingresos,DISTRITO_EJECUTORA_NOMBRE,1772,0.0164,baja_categorica
siaf_ingresos,FUENTE_FINANCIAMIENTO,4,0.0,baja_categorica
siaf_ingresos,FUENTE_FINANCIAMIENTO_NOMBRE,4,0.0,baja_categorica
siaf_ingresos,RUBRO,8,0.0001,baja_categorica
siaf_ingresos,RUBRO_NOMBRE,8,0.0001,baja_categorica
siaf_ingresos,TIPO_RECURSO,58,0.0005,baja_categorica
siaf_ingresos,TIPO_RECURSO_NOMBRE,169,0.0016,baja_categorica
siaf_ingresos,GENERICA,9,0.0001,baja_categorica
siaf_ingresos,GENERICA_NOMBRE,9,0.0001,baja_categorica
siaf_ingresos,SUBGENERICA,6,0.0001,baja_categorica
siaf_ingresos,SUBGENERICA_NOMBRE,26,0.0002,baja_categorica
siaf_ingresos,SUBGENERICA_DET,10,0.0001,baja_categorica
siaf_ingresos,SUBGENERICA_DET_NOMBRE,67,0.0006,baja_categorica
siaf_ingresos,ESPECIFICA,9,0.0001,baja_categorica
siaf_ingresos,ESPECIFICA_NOMBRE,133,0.0012,baja_categorica
siaf_ingresos,ESPECIFICA_DET,29,0.0003,baja_categorica
siaf_ingresos,ESPECIFICA_DET_NOMBRE,474,0.0044,baja_categorica
siaf_ingresos,MONTO_PIA,166981,1.5494,baja_categorica
siaf_ingresos,MONTO_PIM,357240,3.3148,baja_categorica
siaf_ingresos,MONTO_RECAUDADO,2458352,22.811,media
