dataset,columna,cardinalidad_aprox,clase_cardinalidad,top10_valores,cobertura_top10_pct,alerta,nota
siaf_ingresos,NIVEL_GOBIERNO,3,baja_categorica,"{""M"": 8880692, ""R"": 1189584, ""E"": 706792}",100.0,OK,
siaf_ingresos,NIVEL_GOBIERNO_NOMBRE,3,baja_categorica,"{""GOBIERNOS LOCALES"": 8880692, ""GOBIERNOS REGIONALES"": 1189584, ""GOBIERNO NACIONAL"": 706792}",100.0,OK,
siaf_ingresos,SECTOR,34,baja_categorica,"{"" "": 8880692, ""99"": 1189232, ""10"": 304726, ""11"": 128770, ""13"": 33675, ""26"": 31189, ""06"": 29751, ""01"": 20729, ""07"": 18551, ""09"": 17100}",98.86,OK,
siaf_ingresos,SECTOR_NOMBRE,35,baja_categorica,"{"" "": 8880692, ""GOBIERNOS REGIONALES"": 1189232, ""EDUCACION"": 304726, ""SALUD"": 128770, ""DEFENSA"": 31189, ""JUSTICIA"": 29751, ""AGRICULTURA"": 26330, ""PRESIDENCIA CONSEJO MINISTROS"": 20729, ""INTERIOR"": 18551, ""ECONOMIA Y FINANZAS"": 17100}",98.79,OK,
siaf_ingresos,FUENTE_FINANCIAMIENTO,4,baja_categorica,"{""2"": 5709223, ""5"": 4584830, ""4"": 323555, ""3"": 159460}",100.0,OK,
siaf_ingresos,FUENTE_FINANCIAMIENTO_NOMBRE,4,baja_categorica,"{""RECURSOS DIRECTAMENTE RECAUDADOS"": 5709223, ""RECURSOS DETERMINADOS"": 4584830, ""DONACIONES Y TRANSFERENCIAS"": 323555, ""RECURSOS POR OPERACIONES OFICIALES DE CREDITO"": 159460}",100.0,OK,
siaf_ingresos,RUBRO,8,baja_categorica,"{""09"": 5709223, ""18"": 2984079, ""07"": 917947, ""08"": 661621, ""13"": 323555, ""19"": 159460, ""15"": 19447, ""04"": 1736}",100.0,OK,
siaf_ingresos,RUBRO_NOMBRE,8,baja_categorica,"{""RECURSOS DIRECTAMENTE RECAUDADOS"": 5709223, ""CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"": 2984079, ""FONDO DE COMPENSACION MUNICIPAL"": 917947, ""IMPUESTOS MUNICIPALES"": 661621, ""DONACIONES Y TRANSFERENCIAS"": 323555, ""RECURSOS POR OPERACIONES OFICIALES DE CREDITO"": 159460, ""FONDO DE COMPENSACION REGIONAL - FONCOR"": 19447, ""CONTRIBUCIONES A FONDOS"": 1736}",100.0,OK,
siaf_ingresos,TIPO_RECURSO,58,baja_categorica,"{""0"": 3652026, ""1"": 2081135, ""7"": 1385199, ""A"": 637633, ""I"": 485423, ""P"": 448549, ""H"": 399589, ""L"": 254012, ""J"": 169633, ""O"": 152460}",89.69,OK,
siaf_ingresos,TIPO_RECURSO_NOMBRE,169,baja_categorica,"{""NORMAL"": 3179061, ""UNIVERSIDADES / GOB. LOCALES"": 2000637, ""SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS"": 1169433, ""SUB CUENTA - FONCOMUN"": 612667, ""SUB CUENTA - CANON HIDROENERGETICO"": 484266, ""SUB CUENTA - REGALIAS MINERAS"": 447673, ""CANON"": 408657, ""SUB CUENTA - CANON MINERO"": 399475, ""SUB CUENTA - CANON FORESTAL"": 253984, ""SUB CUENTA - IMPUESTOS MUNICIPALES"": 189222}",84.86,OK,
siaf_ingresos,GENERICA,9,baja_categorica,"{""3"": 4484662, ""5"": 2964088, ""4"": 1880888, ""9"": 746994, ""1"": 567069, ""8"": 107625, ""6"": 21881, ""2"": 2180, ""7"": 1681}",100.0,OK,
siaf_ingresos,GENERICA_NOMBRE,9,baja_categorica,"{""VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS"": 4484662, ""OTROS INGRESOS"": 2964088, ""DONACIONES Y TRANSFERENCIAS"": 1880888, ""SALDOS DE BALANCE"": 746994, ""IMPUESTOS Y CONTRIBUCIONES OBLIGATORIAS"": 567069, ""ENDEUDAMIENTO"": 107625, ""VENTA DE ACTIVOS NO FINANCIEROS"": 21881, ""CONTRIBUCIONES SOCIALES"": 2180, ""VENTA DE ACTIVOS FINANCIEROS"": 1681}",100.0,OK,
siaf_ingresos,SUBGENERICA,6,baja_categorica,"{""1"": 5367963, ""2"": 3233924, ""3"": 1787075, ""5"": 368642, ""4"": 11620, ""6"": 7844}",100.0,OK,
siaf_ingresos,SUBGENERICA_NOMBRE,26,baja_categorica,"{""DERECHOS Y TASAS ADMINISTRATIVOS"": 2438420, ""RENTAS DE LA PROPIEDAD"": 2429231, ""DONACIONES Y TRANSFERENCIAS CORRIENTES"": 1816415, ""VENTA DE SERVICIOS"": 1701168, ""SALDOS DE BALANCE"": 746994, ""IMPUESTO A LA PROPIEDAD"": 389831, ""VENTA DE BIENES"": 345074, ""INGRESOS DIVERSOS"": 262369, ""MULTAS Y SANCIONES NO TRIBUTARIAS"": 257174, ""OTROS INGRESOS IMPOSITIVOS"": 92495}",97.24,OK,
siaf_ingresos,SUBGENERICA_DET,10,baja_categorica,"{""1"": 4516787, ""4"": 2273764, ""9"": 1226297, ""3"": 747006, ""5"": 642374, ""2"": 505308, ""10"": 470627, ""8"": 263084, ""6"": 116442, ""7"": 15379}",100.0,OK,
siaf_ingresos,SUBGENERICA_DET_NOMBRE,67,baja_categorica,"{""RENTAS DE LA PROPIEDAD FINANCIERA"": 2254124, ""POR PARTICIPACIONES DE RECURSOS DETERMINADOS"": 1642020, ""OTROS INGRESOS POR PRESTACION DE SERVICIOS"": 811832, ""SALDOS DE BALANCE"": 746994, ""DERECHOS ADMINISTRATIVOS GENERALES"": 602633, ""OTROS DERECHOS ADMINISTRATIVOS"": 470627, ""SERVICIOS DE SALUD"": 398458, ""IMPUESTO SOBRE LA PROPIEDAD INMUEBLE"": 360207, ""DERECHOS ADMINISTRATIVOS DE VIVIENDA Y CONSTRUCCION"": 332039, ""DERECHOS ADMINISTRATIVOS DE INDUSTRIA Y COMERCIO"": 329196}",73.75,OK,
siaf_ingresos,ESPECIFICA,9,baja_categorica,"{""1"": 7425582, ""2"": 1988128, ""5"": 481606, ""4"": 435390, ""3"": 221422, ""6"": 216923, ""7"": 7379, ""9"": 546, ""8"": 92}",100.0,OK,
