dataset,ano,registros,sum_monto_recaudado,avg_monto_recaudado,meses_con_datos
siaf_ingresos,2012,759578,59087733447.95,77790.21,12
siaf_ingresos,2013,721818,58987302125.0,81720.46,12
siaf_ingresos,2014,754093,66545753358.34,88246.08,12
siaf_ingresos,2015,781007,80708282464.91,103338.74,12
siaf_ingresos,2016,764729,87987700921.65,115057.36,12
siaf_ingresos,2017,683816,90240224735.03,131965.65,12
siaf_ingresos,2018,656859,92299882531.6,140517.04,12
siaf_ingresos,2019,706695,91582523271.03,129592.71,12
siaf_ingresos,2020,692729,103577296207.24,149520.66,12
siaf_ingresos,2021,828167,136000675301.95,164218.9,12
siaf_ingresos,2022,774954,124546076915.4,160714.15,12
siaf_ingresos,2023,743452,106309439897.48,142994.36,12
siaf_ingresos,2024,758116,112132667380.95,147909.64,12
siaf_ingresos,2025,878729,119181209307.52,135629.08,12
siaf_ingresos,2026,272326,51917200185.11,190643.57,4
