dataset,column_name,parquet_type,inferred_type,row_count,null_count,null_pct,empty_string_count,empty_string_pct,missing_like_count,missing_like_pct,non_missing_count,unique_count,unique_pct,cardinality_class,min_length,max_length,avg_length,numeric_valid_count,numeric_valid_pct,numeric_min,numeric_max,numeric_mean,q1,q3,iqr,outlier_count_iqr,outlier_pct_iqr,datetime_valid_pct,datetime_detected_format,datetime_min,datetime_max,sample_values,top_values
rentas_entidad_estado,TIPO_META,large_string,integer,19037,0,0.0,0,0.0,0,0.0,19037,8,0.042,baja_categorica,1,2,1.3042,19037,100.0,0.0,39.0,10.8492,2.0,27.0,25.0,0,0.0,0.0,,,,"[""0"", ""39"", ""22"", ""31"", ""23""]","{""2"": 11748, ""39"": 2308, ""27"": 1734, ""0"": 1497, ""31"": 840, ""23"": 630, ""22"": 160, ""18"": 120}"
rentas_entidad_estado,SEC_EJE,null,empty_or_null,19037,19037,100.0,19037,100.0,19037,100.0,0,0,0.0,baja_categorica,0,0,0.0,0,0.0,,,,,,,,,0.0,,,,[],{}
rentas_entidad_estado,ESTADO,large_string,categorical_indicator,19037,0,0.0,0,0.0,0,0.0,19037,1,0.0053,baja_categorica,1,1,1.0,0,0.0,,,,,,,,,0.0,,,,"[""A""]","{""A"": 19037}"
rentas_entidad_estado,IND_RESOL_ALCAL_ADJUNTO,large_string,categorical_text,19037,0,0.0,0,0.0,0,0.0,19037,2,0.0105,baja_categorica,1,1,1.0,0,0.0,,,,,,,,,0.0,,,,"[""P"", ""A""]","{""P"": 17021, ""A"": 2016}"
rentas_entidad_estado,USUARIO_CREACION_FECHA,large_string,datetime_or_date,19037,0,0.0,0,0.0,0,0.0,19037,187,0.9823,baja_categorica,18,19,18.8041,0,0.0,,,,,,,,,100.0,%d/%m/%Y %H:%M:%S,2013-04-30 00:00:00,2026-04-01 19:33:27,"[""31/07/2015 11:30:58"", ""31/07/2015 11:31:53"", ""5/05/2016 15:26:10"", ""5/05/2016 15:26:11"", ""16/04/2014 00:00:00""]","{""2/09/2024 13:30:32"": 1131, ""18/10/2019 16:55:21"": 745, ""18/04/2019 16:55:21"": 745, ""27/02/2020 16:55:21"": 745, ""1/02/2021 16:55:21"": 745, ""26/07/2023 13:22:39"": 681, ""16/02/2017 15:45:34"": 272, ""16/02/2017 15:45:33"": 272, ""16/02/2017 15:45:37"": 272, ""16/02/2017 15:45:38"": 272}"
rentas_entidad_estado,FECHA_RESOL_ALCAL_ADJUNTO,large_string,text,19037,0,0.0,0,0.0,0,0.0,19037,2016,10.5899,media,1,19,2.9033,17021,89.4101,0.0,0.0,0.0,0.0,0.0,0.0,,,10.5899,%d/%m/%Y %H:%M:%S,2022-02-04 14:41:51,2026-04-30 23:09:36,"[""0"", ""31/03/2022 16:54:51"", ""15/02/2022 10:20:49"", ""28/03/2022 08:23:21"", ""31/03/2022 09:00:04""]","{""0"": 17021, ""29/08/2025 18:33:11"": 2, ""31/03/2022 16:54:51"": 1, ""15/02/2022 10:20:49"": 1, ""28/03/2022 08:23:21"": 1, ""31/03/2022 09:00:04"": 1, ""29/03/2022 16:26:53"": 1, ""29/03/2022 12:49:04"": 1, ""11/03/2022 15:34:42"": 1, ""31/03/2022 09:30:07"": 1}"
rentas_entidad_estado,PERIODO,large_string,integer,19037,0,0.0,0,0.0,0,0.0,19037,4,0.021,baja_categorica,1,1,1.0,19037,100.0,1.0,4.0,1.6522,1.0,2.0,1.0,827,4.3442,0.0,,,,"[""1"", ""2"", ""3"", ""4""]","{""1"": 9930, ""2"": 6625, ""3"": 1655, ""4"": 827}"
rentas_entidad_estado,USUARIO_FECHA_ENVIO,large_string,empty_or_null,19037,0,0.0,19037,100.0,19037,100.0,0,0,0.0,baja_categorica,0,0,0.0,0,0.0,,,,,,,,,0.0,,,,[],{}
rentas_entidad_estado,ANO_APLICACION,large_string,integer,19037,0,0.0,0,0.0,0,0.0,19037,14,0.0735,baja_categorica,4,4,4.0,19037,100.0,2013.0,2026.0,2020.6367,2017.0,2024.0,7.0,0,0.0,0.0,,,,"[""2015"", ""2016"", ""2014"", ""2013"", ""2017""]","{""2017"": 3308, ""2018"": 2484, ""2025"": 2300, ""2024"": 2262, ""2019"": 1490, ""2022"": 1490, ""2023"": 1362, ""2026"": 1354, ""2020"": 745, ""2021"": 745}"
rentas_entidad_estado,CLASIFICACION,large_string,categorical_text,19037,0,0.0,0,0.0,0,0.0,19037,7,0.0368,baja_categorica,1,1,1.0,0,0.0,,,,,,,,,0.0,,,,"[""A"", ""B"", ""C"", ""E"", ""D""]","{""C"": 4588, ""E"": 4355, ""B"": 4313, ""D"": 1677, ""A"": 1482, ""F"": 1317, ""G"": 1305}"
rentas_entidad_estado,ORIGEN_INFORMACION,large_string,categorical_indicator,19037,0,0.0,0,0.0,0,0.0,19037,1,0.0053,baja_categorica,1,1,1.0,19037,100.0,1.0,1.0,1.0,1.0,1.0,0.0,,,0.0,,,,"[""1""]","{""1"": 19037}"
rentas_entidad_estado,SEC_EJEC,large_string,integer,19037,0,0.0,0,0.0,0,0.0,19037,1485,7.8006,media,6,6,6.0,19037,100.0,300001.0,301902.0,301051.0706,300635.0,301485.0,850.0,0,0.0,0.0,,,,"[""301261"", ""301262"", ""301263"", ""301264"", ""301265""]","{""301261"": 26, ""301262"": 26, ""301263"": 26, ""301264"": 26, ""301265"": 26, ""301266"": 26, ""301267"": 26, ""301268"": 26, ""301269"": 26, ""301270"": 26}"
rentas_entidad_estado,CORREO,large_string,empty_or_null,19037,0,0.0,19037,100.0,19037,100.0,0,0,0.0,baja_categorica,0,0,0.0,0,0.0,,,,,,,,,0.0,,,,[],{}
rentas_entidad_estado,USUARIO_ENVIO_ID,large_string,categorical_indicator,19037,0,0.0,0,0.0,0,0.0,19037,1,0.0053,baja_categorica,1,1,1.0,19037,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,"[""0""]","{""0"": 19037}"
