dataset,column_name,parquet_type,inferred_type,row_count,null_count,null_pct,empty_string_count,empty_string_pct,missing_like_count,missing_like_pct,non_missing_count,unique_count,unique_pct,cardinality_class,min_length,max_length,avg_length,numeric_valid_count,numeric_valid_pct,numeric_min,numeric_max,numeric_mean,q1,q3,iqr,outlier_count_iqr,outlier_pct_iqr,datetime_valid_pct,datetime_detected_format,datetime_min,datetime_max,sample_values,top_values
rentas_preguntas,ESTADO_REGISTRO,large_string,categorical_indicator,696,0,0.0,0,0.0,0,0.0,696,1,0.1437,baja_categorica,1,1,1.0,0,0.0,,,,,,,,,0.0,,,,"[""A""]","{""A"": 696}"
rentas_preguntas,ANO_APLICACION,large_string,integer,696,0,0.0,0,0.0,0,0.0,696,5,0.7184,baja_categorica,4,4,4.0,696,100.0,2020.0,2025.0,2023.1006,2022.0,2024.0,2.0,0,0.0,0.0,,,,"[""2020"", ""2022"", ""2023"", ""2024"", ""2025""]","{""2023"": 234, ""2025"": 154, ""2024"": 126, ""2020"": 91, ""2022"": 91}"
rentas_preguntas,PREGUNTA_PADRE_ID,large_string,integer,696,0,0.0,0,0.0,0,0.0,696,78,11.2069,media,1,3,1.6695,696,100.0,0.0,149.0,36.8075,0.0,67.0,67.0,0,0.0,0.0,,,,"[""0"", ""67"", ""70"", ""74"", ""12""]","{""0"": 249, ""1"": 56, ""91"": 20, ""112"": 18, ""12"": 15, ""15"": 15, ""45"": 14, ""57"": 12, ""30"": 10, ""65"": 10}"
rentas_preguntas,RANGO_FIN,large_string,categorical_text,696,0,0.0,458,65.8046,458,65.8046,238,16,2.2989,baja_categorica,3,15,9.0084,200,84.0336,100.0,999999999999999.0,20050855000020.06,999999999.0,999999999.0,0.0,,,15.9664,%d/%m/%Y,2020-06-30 00:00:00,2025-12-31 00:00:00,"[""999999999999999"", ""999999999"", ""30/06/2020"", ""30/06/2022"", ""100""]","{""999999999"": 171, ""100"": 12, ""30/06/2023"": 10, ""999999999999"": 10, ""30/09/2024"": 6, ""30/06/2020"": 5, ""999999999999999"": 4, ""31/12/2025"": 4, ""30/06/2022"": 3, ""999"": 3}"
rentas_preguntas,PERIODO,large_string,integer,696,0,0.0,0,0.0,0,0.0,696,2,0.2874,baja_categorica,1,1,1.0,696,100.0,1.0,2.0,1.5704,1.0,2.0,1.0,0,0.0,0.0,,,,"[""1"", ""2""]","{""2"": 397, ""1"": 299}"
rentas_preguntas,RESPUESTA,large_string,categorical_text,696,0,0.0,445,63.9368,445,63.9368,251,9,1.2931,baja_categorica,1,3,1.0398,20,7.9681,7.0,152.0,40.8,7.0,95.0,88.0,0,0.0,0.0,,,,"[""S"", ""7"", ""8"", ""95"", ""101""]","{""S"": 227, ""8"": 8, ""7"": 6, ""N"": 4, ""95"": 2, ""101"": 1, ""116"": 1, ""152"": 1, ""151"": 1}"
rentas_preguntas,ORDEN_PREGUNTA,large_string,integer,696,0,0.0,0,0.0,0,0.0,696,208,29.8851,media,3,9,4.9856,696,100.0,1.0,49004001.0,2032080.5244,29.75,35251.75,35222.0,50,7.1839,0.0,,,,"[""034"", ""035"", ""036"", ""036001"", ""036002""]","{""034"": 6, ""035"": 6, ""036"": 6, ""037"": 6, ""038"": 6, ""040"": 6, ""041"": 6, ""042"": 6, ""043"": 6, ""043001"": 6}"
rentas_preguntas,TEXTO_LECTURA,large_string,text,696,0,0.0,398,57.1839,398,57.1839,298,174,25.0,media,45,980,182.2013,0,0.0,,,,,,,,,0.0,,,,"[""Pregunta 34: Es un campo numérico. Usar separador de miles. El rango permitido es de 0 a 999 999 999."", ""Pregunta 35: Es un campo numérico. Usar separador de miles. El rango permitido es de 0 a 999 999 999."", ""Pregunta 36a: Es un campo numérico. Usar separador de miles. El rango permitido es de 0 a 999 999 999.<br>Pregunta 36b: Es un campo numérico. Usar separador de miles.  El rango permitido es de 0 a 999 999 999."", ""Pregunta 37: Sólo permite una respuesta,SÍ&#34; oNO&#34;.<br>Pregunta 37a: Se activa sólo si la respuesta a la pregunta 37 esSÍ&#34;.  37a es un campo de fecha, por lo que requiere un tablero de fecha del 02/01/2020 al 30/06/2020.<br>Pregunta 37b: Se activa sólo si la respuesta a la pregunta 37 esSÍ&#34;.  37b es un campo de fecha, por lo que requiere un tablero de fecha del 02/01/2020 al 30/06/2020.<br>&#34;EN PROCESO&#34; es un campo para contestarSÍ&#34; oNO&#34;.  Es obligatorio si la respuesta al campo 37 esSÍ&#34;."", ""Pregunta 38: Sólo permite una respuesta,SÍ&#34; oNO&#34;.<br>Pregunta 39a: Se activa sólo si la respuesta a la pregunta 38 esSÍ&#34;. 39a es un campo numérico. Debe tener separador de miles.<br>Pregunta 39b: Se activa sólo si la respuesta a la pregunta 38 esSÍ&#34;. 39b es un campo numérico. Debe tener separador de miles.<br>Pregunta 39c: Se activa sólo si la respuesta a la pregunta 38 esSÍ&#34;. 39c es un campo numérico. Debe tener separador de miles.""]","{""30: El rango permitido es de 0 a 999 999 999."": 6, ""Pregunta 1: Debe permitir desplegar las siguientes opciones: a) Organismo público; b) Gerencia; c) Subgerencia; d) Unidad; e) Oficina; f) Otro; g) No tiene ATM.  Si la respuesta es  Otro , debe permitir registrar el nivel en un campo adyacente."": 5, ""Pregunta 4: Sólo permite una respuesta,  SÍ  o  NO ."": 5, ""Pregunta 5: Se activa si la respuesta a la pregunta 4 es  SÍ . Sólo permite una respuesta,  SÍ  o  NO ."": 5, ""Pregunta 7: Sólo permite una respuesta,  SÍ  o  NO .<br>Pregunta 7a: Se activa sólo si la respuesta a la pregunta 7 es  SÍ . 7a es un campo para el registro de palabras.  Por ejemplo:  Gerencia de Desarrollo Urbano .<br>Pregunta 7b: Se activa sólo si la respuesta a la pregunta 7 es  SÍ . 7b sólo permite una respuesta,  SÍ  o  NO ."": 5, ""Pregunta 10: Sólo permite una respuesta,  SÍ  o  NO ."": 5, ""Pregunta 19: Sólo permite una respuesta,  SÍ  o  NO ."": 5, ""Pregunta 20: Sólo permite una respuesta,  SÍ  o  NO ."": 5, ""Pregunta 21: Sólo permite una respuesta,  SÍ  o  NO ."": 5, ""Pregunta 22: Sólo permite una respuesta,  SÍ  o  NO ."": 5}"
rentas_preguntas,TEXTO_APOYO,large_string,categorical_text,696,0,0.0,405,58.1897,405,58.1897,291,9,1.2931,baja_categorica,16,30,18.4158,0,0.0,,,,,,,,,0.0,,,,"[""<Ingresar monto>"", ""<Ingresar cantidad>"", ""<Consignar área en m2>"", ""<Seleccionar fecha>"", ""<Ingresar texto>""]","{""<Ingresar cantidad>"": 135, ""<Ingresar texto>"": 51, ""<Ingresar monto>"": 38, ""<Seleccionar fecha>"": 37, ""<Consignar área en m2>"": 12, ""<Ingresar porcentaje>"": 11, ""<Ingresar Porcentaje>"": 4, ""<Ingresar texto alfanumérico>"": 2, ""<Seleccionar fecha aprobación>"": 1}"
rentas_preguntas,OBJETO_ACTIVO,large_string,categorical_indicator,696,0,0.0,0,0.0,0,0.0,696,2,0.2874,baja_categorica,1,1,1.0,696,100.0,0.0,1.0,0.6379,0.0,1.0,1.0,0,0.0,0.0,,,,"[""1"", ""0""]","{""1"": 444, ""0"": 252}"
