dataset,dimension,rule_id,rule_name,column_name,rule_type,expected_value,evaluated_rows,passed_rows,failed_rows,score,severity,source,status,observation,sample_failed_rows
municipalidades_2022,Unicidad,municipalidades_2022.full_row_duplicates,Filas completamente duplicadas,*,duplicate_full_rows,sin duplicados completos,1874,1874,0,100.0,Media,profiling_based,Sin observaciones,Filas idénticas repetidas en el dataset.,[]
municipalidades_2022,Completitud,municipalidades_2022.Año.required,Columna requerida no vacía: Año,Año,required_not_empty,no nulo/no vacío,1874,1874,0,100.0,Alta,local_csv,Sin observaciones,Registros vacíos o nulos en Año.,[]
municipalidades_2022,Completitud,municipalidades_2022.idmunici.required,Columna requerida no vacía: idmunici,idmunici,required_not_empty,no nulo/no vacío,1874,1874,0,100.0,Alta,local_csv,Sin observaciones,Registros vacíos o nulos en idmunici.,[]
municipalidades_2022,Completitud,municipalidades_2022.ccdd.required,Columna requerida no vacía: ccdd,ccdd,required_not_empty,no nulo/no vacío,1874,1874,0,100.0,Alta,local_csv,Sin observaciones,Registros vacíos o nulos en ccdd.,[]
municipalidades_2022,Completitud,municipalidades_2022.ccpp.required,Columna requerida no vacía: ccpp,ccpp,required_not_empty,no nulo/no vacío,1874,1874,0,100.0,Alta,local_csv,Sin observaciones,Registros vacíos o nulos en ccpp.,[]
municipalidades_2022,Completitud,municipalidades_2022.ccdi.required,Columna requerida no vacía: ccdi,ccdi,required_not_empty,no nulo/no vacío,1874,1874,0,100.0,Alta,local_csv,Sin observaciones,Registros vacíos o nulos en ccdi.,[]
municipalidades_2022,Completitud,municipalidades_2022.Ubigeo.required,Columna requerida no vacía: Ubigeo,Ubigeo,required_not_empty,no nulo/no vacío,1874,1874,0,100.0,Alta,local_csv,Sin observaciones,Registros vacíos o nulos en Ubigeo.,[]
municipalidades_2022,Completitud,municipalidades_2022.Departamento.required,Columna requerida no vacía: Departamento,Departamento,required_not_empty,no nulo/no vacío,1874,1874,0,100.0,Alta,local_csv,Sin observaciones,Registros vacíos o nulos en Departamento.,[]
municipalidades_2022,Completitud,municipalidades_2022.Provincia.required,Columna requerida no vacía: Provincia,Provincia,required_not_empty,no nulo/no vacío,1874,1874,0,100.0,Alta,local_csv,Sin observaciones,Registros vacíos o nulos en Provincia.,[]
municipalidades_2022,Completitud,municipalidades_2022.Distrito.required,Columna requerida no vacía: Distrito,Distrito,required_not_empty,no nulo/no vacío,1874,1874,0,100.0,Alta,local_csv,Sin observaciones,Registros vacíos o nulos en Distrito.,[]
municipalidades_2022,Completitud,municipalidades_2022.Tipomuni.required,Columna requerida no vacía: Tipomuni,Tipomuni,required_not_empty,no nulo/no vacío,1874,1874,0,100.0,Alta,local_csv,Sin observaciones,Registros vacíos o nulos en Tipomuni.,[]
municipalidades_2022,Completitud,municipalidades_2022.P11A_10_O.observed_empty,Columna con ausencia observada: P11A_10_O,P11A_10_O,observed_empty,revisar ausencia,1874,596,1278,31.8036,Baja,profiling_based,Con observaciones,Columna reportada por profiling como potencialmente vacía o incompleta.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
municipalidades_2022,Completitud,municipalidades_2022.P11B_18_O.observed_empty,Columna con ausencia observada: P11B_18_O,P11B_18_O,observed_empty,revisar ausencia,1874,172,1702,9.1782,Baja,profiling_based,Con observaciones,Columna reportada por profiling como potencialmente vacía o incompleta.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
municipalidades_2022,Completitud,municipalidades_2022.P13A_9_O.observed_empty,Columna con ausencia observada: P13A_9_O,P13A_9_O,observed_empty,revisar ausencia,1874,251,1623,13.3938,Baja,profiling_based,Con observaciones,Columna reportada por profiling como potencialmente vacía o incompleta.,"[0, 1, 2, 3, 6, 7, 8, 9, 10, 11]"
municipalidades_2022,Completitud,municipalidades_2022.P15A_6_O.observed_empty,Columna con ausencia observada: P15A_6_O,P15A_6_O,observed_empty,revisar ausencia,1874,242,1632,12.9136,Baja,profiling_based,Con observaciones,Columna reportada por profiling como potencialmente vacía o incompleta.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
municipalidades_2022,Completitud,municipalidades_2022.P16_9_O.observed_empty,Columna con ausencia observada: P16_9_O,P16_9_O,observed_empty,revisar ausencia,1874,117,1757,6.2433,Baja,profiling_based,Con observaciones,Columna reportada por profiling como potencialmente vacía o incompleta.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
municipalidades_2022,Completitud,municipalidades_2022.P17_13_O.observed_empty,Columna con ausencia observada: P17_13_O,P17_13_O,observed_empty,revisar ausencia,1874,64,1810,3.4152,Baja,profiling_based,Con observaciones,Columna reportada por profiling como potencialmente vacía o incompleta.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
municipalidades_2022,Validez,municipalidades_2022.Tipomuni.allowed_values,Valores permitidos en Tipomuni,Tipomuni,allowed_values,"['1', '2', '3']",1874,1874,0,100.0,Alta,local_csv,Sin observaciones,"Valores fuera del catálogo permitido ['1', '2', '3']. Los vacíos se evalúan en Completitud.",[]
municipalidades_2022,Validez,municipalidades_2022.Año.allowed_values,Valores permitidos en Año,Año,allowed_values,['2022'],1874,1874,0,100.0,Alta,local_csv,Sin observaciones,Valores fuera del catálogo permitido ['2022']. Los vacíos se evalúan en Completitud.,[]
municipalidades_2022,Validez,municipalidades_2022.P11A_1.allowed_values,Valores permitidos en P11A_1,P11A_1,allowed_values,"['1', '2']",1874,1874,0,100.0,Media,local_csv,Sin observaciones,"Valores fuera del catálogo permitido ['1', '2']. Los vacíos se evalúan en Completitud.",[]
municipalidades_2022,Validez,municipalidades_2022.P11A_2.allowed_values,Valores permitidos en P11A_2,P11A_2,allowed_values,"['1', '2']",1874,1874,0,100.0,Media,local_csv,Sin observaciones,"Valores fuera del catálogo permitido ['1', '2']. Los vacíos se evalúan en Completitud.",[]
municipalidades_2022,Validez,municipalidades_2022.P11A_3.allowed_values,Valores permitidos en P11A_3,P11A_3,allowed_values,"['1', '2']",1874,1874,0,100.0,Media,local_csv,Sin observaciones,"Valores fuera del catálogo permitido ['1', '2']. Los vacíos se evalúan en Completitud.",[]
municipalidades_2022,Validez,municipalidades_2022.P11A_4.allowed_values,Valores permitidos en P11A_4,P11A_4,allowed_values,"['1', '2']",1874,1874,0,100.0,Media,local_csv,Sin observaciones,"Valores fuera del catálogo permitido ['1', '2']. Los vacíos se evalúan en Completitud.",[]
municipalidades_2022,Validez,municipalidades_2022.P11A_5.allowed_values,Valores permitidos en P11A_5,P11A_5,allowed_values,"['1', '2']",1874,1874,0,100.0,Media,local_csv,Sin observaciones,"Valores fuera del catálogo permitido ['1', '2']. Los vacíos se evalúan en Completitud.",[]
municipalidades_2022,Validez,municipalidades_2022.P11A_6.allowed_values,Valores permitidos en P11A_6,P11A_6,allowed_values,"['1', '2']",1874,1874,0,100.0,Media,local_csv,Sin observaciones,"Valores fuera del catálogo permitido ['1', '2']. Los vacíos se evalúan en Completitud.",[]
municipalidades_2022,Validez,municipalidades_2022.P11A_7.allowed_values,Valores permitidos en P11A_7,P11A_7,allowed_values,"['1', '2']",1874,1874,0,100.0,Media,local_csv,Sin observaciones,"Valores fuera del catálogo permitido ['1', '2']. Los vacíos se evalúan en Completitud.",[]
municipalidades_2022,Validez,municipalidades_2022.P11A_8.allowed_values,Valores permitidos en P11A_8,P11A_8,allowed_values,"['1', '2']",1874,1874,0,100.0,Media,local_csv,Sin observaciones,"Valores fuera del catálogo permitido ['1', '2']. Los vacíos se evalúan en Completitud.",[]
municipalidades_2022,Validez,municipalidades_2022.P11A_9.allowed_values,Valores permitidos en P11A_9,P11A_9,allowed_values,"['1', '2']",1874,1874,0,100.0,Media,local_csv,Sin observaciones,"Valores fuera del catálogo permitido ['1', '2']. Los vacíos se evalúan en Completitud.",[]
municipalidades_2022,Validez,municipalidades_2022.P11A_10.allowed_values,Valores permitidos en P11A_10,P11A_10,allowed_values,"['1', '2']",1874,1874,0,100.0,Media,local_csv,Sin observaciones,"Valores fuera del catálogo permitido ['1', '2']. Los vacíos se evalúan en Completitud.",[]
municipalidades_2022,Validez,municipalidades_2022.idmunici.numeric,Columna convertible a número: idmunici,idmunici,numeric,numérico,1874,1874,0,100.0,Alta,local_csv,Sin observaciones,Valores no convertibles a número. Los vacíos se evalúan en Completitud.,[]
municipalidades_2022,Validez,municipalidades_2022.ccdd.numeric,Columna convertible a número: ccdd,ccdd,numeric,numérico,1874,1874,0,100.0,Alta,local_csv,Sin observaciones,Valores no convertibles a número. Los vacíos se evalúan en Completitud.,[]
municipalidades_2022,Validez,municipalidades_2022.ccpp.numeric,Columna convertible a número: ccpp,ccpp,numeric,numérico,1874,1874,0,100.0,Alta,local_csv,Sin observaciones,Valores no convertibles a número. Los vacíos se evalúan en Completitud.,[]
municipalidades_2022,Validez,municipalidades_2022.ccdi.numeric,Columna convertible a número: ccdi,ccdi,numeric,numérico,1874,1874,0,100.0,Alta,local_csv,Sin observaciones,Valores no convertibles a número. Los vacíos se evalúan en Completitud.,[]
municipalidades_2022,Unicidad,municipalidades_2022.unique_key.idmunici,Clave candidata única: ['idmunici'],idmunici,unique_key,['idmunici'],1874,1874,0,100.0,Alta,inferred_business_key,Sin observaciones,Registros duplicados según clave candidata inferida.,[]
municipalidades_2022,Unicidad,municipalidades_2022.unique_key.Ubigeo,Clave candidata única: ['Ubigeo'],Ubigeo,unique_key,['Ubigeo'],1874,1874,0,100.0,Alta,inferred_business_key,Sin observaciones,Registros duplicados según clave candidata inferida.,[]
municipalidades_2022,Consistencia,municipalidades_2022.P19D_NM_le_P19D_T,Consistencia: P19D_NM <= P19D_T,"P19D_NM,P19D_T",less_or_equal,P19D_NM<=P19D_T,1874,1874,0,100.0,Alta,business_rule,Sin observaciones,Registros donde P19D_NM no es menor o igual que P19D_T.,[]
