dataset,rule_id,dimension,column_name,row_index,expected_value,P11A_10_O,P11B_18_O,P13A_9_O,P15A_6_O,P16_9_O,P17_13_O
municipalidades_2022,municipalidades_2022.P11A_10_O.observed_empty,Completitud,P11A_10_O,0,revisar ausencia,,,,,,
municipalidades_2022,municipalidades_2022.P11A_10_O.observed_empty,Completitud,P11A_10_O,1,revisar ausencia,,,,,,
municipalidades_2022,municipalidades_2022.P11A_10_O.observed_empty,Completitud,P11A_10_O,2,revisar ausencia,,,,,,
municipalidades_2022,municipalidades_2022.P11A_10_O.observed_empty,Completitud,P11A_10_O,3,revisar ausencia,,,,,,
municipalidades_2022,municipalidades_2022.P11A_10_O.observed_empty,Completitud,P11A_10_O,4,revisar ausencia,,,,,,
municipalidades_2022,municipalidades_2022.P11A_10_O.observed_empty,Completitud,P11A_10_O,5,revisar ausencia,,,,,,
municipalidades_2022,municipalidades_2022.P11A_10_O.observed_empty,Completitud,P11A_10_O,6,revisar ausencia,,,,,,
municipalidades_2022,municipalidades_2022.P11A_10_O.observed_empty,Completitud,P11A_10_O,7,revisar ausencia,,,,,,
municipalidades_2022,municipalidades_2022.P11A_10_O.observed_empty,Completitud,P11A_10_O,8,revisar ausencia,,,,,,
municipalidades_2022,municipalidades_2022.P11A_10_O.observed_empty,Completitud,P11A_10_O,9,revisar ausencia,,,,,,
municipalidades_2022,municipalidades_2022.P11B_18_O.observed_empty,Completitud,P11B_18_O,0,revisar ausencia,,,,,,
municipalidades_2022,municipalidades_2022.P11B_18_O.observed_empty,Completitud,P11B_18_O,1,revisar ausencia,,,,,,
municipalidades_2022,municipalidades_2022.P11B_18_O.observed_empty,Completitud,P11B_18_O,2,revisar ausencia,,,,,,
municipalidades_2022,municipalidades_2022.P11B_18_O.observed_empty,Completitud,P11B_18_O,3,revisar ausencia,,,,,,
municipalidades_2022,municipalidades_2022.P11B_18_O.observed_empty,Completitud,P11B_18_O,4,revisar ausencia,,,,,,
municipalidades_2022,municipalidades_2022.P11B_18_O.observed_empty,Completitud,P11B_18_O,5,revisar ausencia,,,,,,
municipalidades_2022,municipalidades_2022.P11B_18_O.observed_empty,Completitud,P11B_18_O,6,revisar ausencia,,,,,,
municipalidades_2022,municipalidades_2022.P11B_18_O.observed_empty,Completitud,P11B_18_O,7,revisar ausencia,,,,,,
