dataset,column_name,business_name,description,bronze_type,silver_type,transformation_applied,nullable,is_technical_column,source,notes
municipalidades_2022,VFI,VFI,VFI constante (100% = '1'); toda municipalidad respondió. Sin valor analítico diferenciador.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); toda municipalidad respondió. Sin valor analítico diferenciador.
municipalidades_2022,VFI_C96,VFI_C96,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_C97,VFI_C97,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P100,VFI_P100,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P101,VFI_P101,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P102,VFI_P102,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P11A,VFI_P11A,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P11B,VFI_P11B,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P12,VFI_P12,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P13,VFI_P13,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P14,VFI_P14,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P15,VFI_P15,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P16,VFI_P16,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
