dataset,column_name,bronze_type,silver_type,transformation,nulls_before,nulls_after,conversion_errors,special_values_handled,status,reason
municipalidades_2022,VFI,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); toda municipalidad respondió. Sin valor analítico diferenciador.
municipalidades_2022,VFI_C96,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_C97,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P100,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P101,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P102,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P11A,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P11B,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P12,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P13,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P14,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P15,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P16,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P17,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P18,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P19,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P19A,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P20,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P21,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P22,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P23,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P24,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P25,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P26,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P26A,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P27,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P28,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P29,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P30,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P31,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P32,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P33,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P34,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P35,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P36,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P37,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P38,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P39B,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P40,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P41,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P42,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P43,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P44,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P46,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P47,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P48,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P48B,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P49,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P50,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P51,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P52,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P53,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P54,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P55,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P56,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P57,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P58,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P59,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P60A,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P60B,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P61,object,dropped,drop_column,0,,0,0,DROPPED,VFI constante (100% = '1'); sin variación.
