dataset,column_name,business_name,description,bronze_type,silver_type,transformation_applied,nullable,is_technical_column,source,notes
rentas_ano_aplicacion,ESTADO,ESTADO,,str,string,cast_to_string_nullable,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
rentas_ano_aplicacion,FECHA_INI_CIERRE,FECHA_INI_CIERRE,documented_null_columns: Columna parcialmente vacía; los vacíos reales se convierten a null.,str,datetime64[us],cast_to_datetime_nullable,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,documented_null_columns: Columna parcialmente vacía; los vacíos reales se convierten a null.
rentas_ano_aplicacion,PERIODO,PERIODO,,str,Int64,cast_to_integer_nullable,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
rentas_ano_aplicacion,ANO_APLICACION_FIN,ANO_APLICACION_FIN,,str,Int64,cast_to_integer_nullable,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
rentas_ano_aplicacion,ANO_APLICACION_INICIO,ANO_APLICACION_INICIO,,str,Int64,cast_to_integer_nullable,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
rentas_ano_aplicacion,FECHA_ING,FECHA_ING,documented_null_columns: Columna parcialmente vacía; los vacíos reales se convierten a null.,str,datetime64[us],cast_to_datetime_nullable,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,documented_null_columns: Columna parcialmente vacía; los vacíos reales se convierten a null.
rentas_ano_aplicacion,FECHA_PRES_OFICIO,FECHA_PRES_OFICIO,documented_null_columns: Columna parcialmente vacía; los vacíos reales se convierten a null.,str,datetime64[us],cast_to_datetime_nullable,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,documented_null_columns: Columna parcialmente vacía; los vacíos reales se convierten a null.
rentas_ano_aplicacion,FECHA_CIERRE,FECHA_CIERRE,,str,datetime64[us],cast_to_datetime_nullable,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
rentas_ano_aplicacion,ANO_APLICACION,ANO_APLICACION,,str,Int64,cast_to_integer_nullable,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
rentas_formulario,ORDEN_FORMULARIO,ORDEN_FORMULARIO,preserve_as_string: Se conserva como texto para no perder ceros a la izquierda ni formato de orden del formulario.,str,string,cast_to_string_nullable,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,preserve_as_string: Se conserva como texto para no perder ceros a la izquierda ni formato de orden del formulario.
rentas_formulario,ESTADO_REGISTRO,ESTADO_REGISTRO,documented_null_columns: Columna 100% vacía en Bronze; se conserva como string nullable por trazabilidad con el diccionario oficial.,str,string,cast_to_string_nullable,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,documented_null_columns: Columna 100% vacía en Bronze; se conserva como string nullable por trazabilidad con el diccionario oficial.
rentas_formulario,ANO_APLICACION,ANO_APLICACION,,str,Int64,cast_to_integer_nullable,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
