dataset,column_name,bronze_type,silver_type,transformation,nulls_before,nulls_after,conversion_errors,special_values_handled,status,reason
rentas_ano_aplicacion,ESTADO,str,string,cast_to_string_nullable,0,0.0,0,0,OK,
rentas_ano_aplicacion,FECHA_INI_CIERRE,str,datetime64[us],cast_to_datetime_nullable,6,6.0,0,0,OK,documented_null_columns: Columna parcialmente vacía; los vacíos reales se convierten a null.
rentas_ano_aplicacion,PERIODO,str,Int64,cast_to_integer_nullable,0,0.0,0,0,OK,
rentas_ano_aplicacion,ANO_APLICACION_FIN,str,Int64,cast_to_integer_nullable,0,0.0,0,0,OK,
rentas_ano_aplicacion,ANO_APLICACION_INICIO,str,Int64,cast_to_integer_nullable,0,0.0,0,0,OK,
rentas_ano_aplicacion,FECHA_ING,str,datetime64[us],cast_to_datetime_nullable,10,10.0,0,0,OK,documented_null_columns: Columna parcialmente vacía; los vacíos reales se convierten a null.
rentas_ano_aplicacion,FECHA_PRES_OFICIO,str,datetime64[us],cast_to_datetime_nullable,6,6.0,0,0,OK,documented_null_columns: Columna parcialmente vacía; los vacíos reales se convierten a null.
rentas_ano_aplicacion,FECHA_CIERRE,str,datetime64[us],cast_to_datetime_nullable,0,0.0,0,0,OK,
rentas_ano_aplicacion,ANO_APLICACION,str,Int64,cast_to_integer_nullable,0,0.0,0,0,OK,
rentas_formulario,ORDEN_FORMULARIO,str,string,cast_to_string_nullable,0,0.0,0,0,OK,preserve_as_string: Se conserva como texto para no perder ceros a la izquierda ni formato de orden del formulario.
rentas_formulario,ESTADO_REGISTRO,str,string,cast_to_string_nullable,94,94.0,0,0,OK,documented_null_columns: Columna 100% vacía en Bronze; se conserva como string nullable por trazabilidad con el diccionario oficial.
rentas_formulario,ANO_APLICACION,str,Int64,cast_to_integer_nullable,0,0.0,0,0,OK,
rentas_formulario,PERIODO,str,Int64,cast_to_integer_nullable,0,0.0,0,0,OK,
rentas_formulario,TIPO_FORMULARIO,str,string,cast_to_string_nullable,0,0.0,0,0,OK,
rentas_formulario,FORMULARIO_ID,str,Int64,cast_to_integer_nullable,0,0.0,0,0,OK,
rentas_formulario,TITULO,str,string,cast_to_string_nullable,0,0.0,0,0,OK,
rentas_formulario,SUB_TITULO,str,string,cast_to_string_nullable,88,88.0,0,0,OK,documented_null_columns: Columna parcialmente vacía; se conservan los valores disponibles y los vacíos se convierten a null.
rentas_formulario,CLASIFICACION,str,string,cast_to_string_nullable,0,0.0,0,0,OK,
rentas_formulario,ABREVIATURA,str,string,cast_to_string_nullable,0,0.0,0,0,OK,
rentas_preguntas,ESTADO_REGISTRO,str,string,cast_to_string_nullable,0,0.0,0,0,OK,
